Age Group,Gender,City,Cleanliness of public toilets,Safety of public toilets,Features in public toilets,Public Service Use,Frequency of Public Service Use,Satisfaction of Pulic Transportation,Suggestion for Pulic Transportation,Visting of Local Parks,Frequency of Visting of Local Parks,Important Park amenities,Issues in Park,Safety of Public Transportation,Suggestion for Parks,Satisfaction on Libraries resources,Frequency of Visiting Library,Satisfaction of Local Public Service,Suggestion for Libraries,Suggestion for Local Public Service
18-35 ,Female,Mysuru,Fair,Neutral,Comfortable seating areas,Yes,Never,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Safety and security,Yes,Sports equipment rentals,Neutral,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Male,Kanakapura,Fair,Neutral,Accessible facilities for people with disabilities,No,Never,Unsatisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Rarely,Dissatisfied,E book access,Invest in technology
36-50 ,Female,Bengaluru,Excellent,Neutral,Comfortable seating areas,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,E book access,Invest in technology
18-35 ,Male,Mysuru,Poor,Very safe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Safety and security,No,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,Language learning programs,Improve customer service
18-35 ,Female,Mysuru,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,Reduced fares or free transfers,Sometimes,More amenities,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Female,Mysuru,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Female,Kanakapura,Fair,Very safe,Free Wi-Fi,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Male,Hyderabad,Good,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,More amenities,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service
36-50 ,Male,Kanakapura,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Invest in technology
18-35 ,Male,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Quarterly,Neutral,Language learning programs,Improve customer service
36-50 ,Male,Kanakapura,Fair,Neutral,Free Wi-Fi,Yes,A few times a week,Neutral,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Improve customer service
36-50 ,Male,Chennai,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Neutral,E book access,Improve customer service
36-50 ,Male,Kanakapura,Fair,Somewhat safe,Free Wi-Fi,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Very Dissatisfied,Language learning programs,Invest in technology
36-50 ,Male,Hyderabad,Good,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Chennai,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Improve customer service
18-35 ,Male,Mysuru,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Enhance community engagement
36-50 ,Female,Kanakapura,Fair,Somewhat safe,Baby-changing facilities,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,Language learning programs,Improve customer service
18-35 ,Male,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Hyderabad,Poor,Somewhat unsafe,Comfortable seating areas,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Improve customer service
18-35 ,Male,Kanakapura,Good,Somewhat safe,Air conditioning or heating,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Satisfied,Weekly,Neutral,Language learning programs,Improve customer service
36-50 ,Male,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,Reduced fares or free transfers,Sometimes,Improved lighting and safety,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Satisfied,Rarely,Satisfied,E book access,Improve customer service
51-70 ,Male,Mysuru,Fair,Neutral,Comfortable seating areas,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Invest in technology
51-70 ,Male,Bengaluru,Fair,Neutral,Comfortable seating areas,No,Never,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Crowding and noise,Yes,Sports equipment rentals,Very dissatisfied,Rarely,Neutral,E book access,Invest in technology
36-50 ,Male,Mysuru,Good,Somewhat safe,Free Wi-Fi,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Male,Hyderabad,Good,Neutral,Comfortable seating areas,No,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Weekly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Hyderabad,Good,Neutral,Free Wi-Fi,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Female,Mysuru,Good,Somewhat safe,Comfortable seating areas,No,Once a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Crowding and noise,Yes,Sports equipment rentals,Neutral,Rarely,Satisfied,Language learning programs,Improve customer service
51-70 ,Female,Kanakapura,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,Language learning programs,Invest in technology
36-50 ,Male,Bengaluru,Good,Neutral,Accessible facilities for people with disabilities,No,Never,Unsatisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Very Dissatisfied,E book access,Improve customer service
36-50 ,Female,Kanakapura,Good,Neutral,Free Wi-Fi,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
36-50 ,Female,Kanakapura,Fair,Very unsafe,Baby-changing facilities,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Monthly,Satisfied,E book access,Improve customer service
18-35 ,Male,Hyderabad,Poor,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,Improved lighting and safety,Sports facilities,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Monthly,Dissatisfied,E book access,Invest in technology
36-50 ,Female,Kanakapura,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Everyday,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Neutral,Language learning programs,Invest in technology
36-50 ,Female,Bengaluru,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Sports facilities,Safety and security,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service
18-35 ,Male,Bengaluru,Fair,Very safe,Free Wi-Fi,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Restrooms,Lack of amenities,Sometimes,Electric vehicle charging stations,Very Satisfied,Never,Neutral,E book access,Invest in technology
36-50 ,Male,Mysuru,Good,Somewhat unsafe,Comfortable seating areas,No,A few times a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Rarely,Neutral,E book access,Improve customer service
18-35 ,Male,Kanakapura,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Monthly,Satisfied,Language learning programs,Improve customer service
36-50 ,Male,Palamaner,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Picnic area,Safety and security,Yes,Sports equipment rentals,Satisfied,Quarterly,Very Dissatisfied,Language learning programs,Invest in technology
18-35 ,Female,Mysuru,Fair,Neutral,Free Wi-Fi,No,Once a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Increase transparency
51-70 ,Male,Hyderabad,Good,Somewhat safe,Baby-changing facilities,No,Never,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Crowding and noise,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,Language learning programs,Improve customer service
36-50 ,Male,Mysuru,Fair,Somewhat safe,Free Wi-Fi,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Weekly,Neutral,E book access,Improve customer service
36-50 ,Male,Bengaluru,Good,Very safe,Comfortable seating areas,No,A few times a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Restrooms,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Monthly,Neutral,Language learning programs,Enhance community engagement
18-35 ,Female,Kanakapura,Fair,Very safe,Comfortable seating areas,No,Once a week,Neutral,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,E book access,Invest in technology
36-50 ,Male,Kolkata,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Walking trails,Crowding and noise,Sometimes,Sports equipment rentals,Neutral,Rarely,Satisfied,Language learning programs,Improve customer service
36-50 ,Male,Mysuru,Fair,Somewhat safe,Baby-changing facilities,Yes,Never,Very unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Dissatisfied,E book access,Improve customer service
36-50 ,Female,Palamaner,Fair,Somewhat unsafe,Free Wi-Fi,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Male,Hyderabad,Poor,Somewhat unsafe,Comfortable seating areas,No,Once a week,Unsatisfied,Increased safety and security,Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Neutral,Language learning programs,Invest in technology
18-35 ,Female,Hyderabad,Good,Somewhat safe,Air conditioning or heating,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Neutral,"DIY workshop(crafting,painting)",Invest in technology
