age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
51-70 ,Male,Palamaner,Fair,Very safe,Free Wi-Fi,No,Everyday,Very satisfied,More frequent buses/trains,Sometimes,Improved lighting and safety,Walking trails,Safety and security,No,Electric vehicle charging stations,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency,"More frequent buses/trains Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Very Dissatisfied Fair Very safe No Very satisfied",frequent bus train electric vehicle charge station diy painting increase transparency dissatisfied fair safe satisfied
51-70 ,Male,Hyderabad,Good,Somewhat unsafe,Comfortable seating areas,Yes,Everyday,Very unsatisfied,More frequent buses/trains,Sometimes,Increased programming and events,Sports facilities,Maintenance and cleanliness,No,Public restrooms,Neutral,Quarterly,Neutral,E book access,Invest in technology,More frequent buses/trains Public restrooms E book access Invest in technology Neutral Good Somewhat unsafe Yes Very unsatisfied,frequent bus train public restroom e book access invest technology neutral good somewhat unsafe yes unsatisfied
Oct-18,Male,Hyderabad,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Public restrooms,Neutral,Rarely,Satisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Public restrooms E book access Invest in technology Satisfied Good Somewhat safe Yes Unsatisfied",clean comfortable vehicle public restroom e book access invest technology satisfied good somewhat safe yes unsatisfie
51-70 ,Male,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Sports facilities,Crowding and noise,Yes,Public restrooms,Neutral,Quarterly,Very Dissatisfied,Language learning programs,Enhance community engagement,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Enhance community engagement Very Dissatisfied Fair Somewhat unsafe No Unsatisfied",clean comfortable vehicle public restroom language learning program enhance community engagement dissatisfied fair somewhat unsafe unsatisfied
36-50 ,Male,Mysuru,Fair,Neutral,Free Wi-Fi,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Yes,Improved lighting and safety,Picnic area,Lack of amenities,Sometimes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,Language learning programs,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Invest in technology Very Dissatisfied Fair Neutral Yes Satisfied,reduce fare free transfer electric vehicle charge station language learning program invest technology dissatisfied fair neutral yes satisfy
36-50 ,Male,Palamaner,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Monthly,Satisfied,E book access,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Increase transparency Satisfied Good Somewhat safe No Satisfied",clean comfortable vehicle sport equipment rental e book access increase transparency satisfy good somewhat safe satisfied
51-70 ,Male,Tirupati,Fair,Somewhat safe,Free Wi-Fi,Yes,Once a week,Very satisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Rarely,Satisfied,Language learning programs,Enhance community engagement,More frequent buses/trains Electric vehicle charging stations Language learning programs Enhance community engagement Satisfied Fair Somewhat safe Yes Very satisfied,frequent bus train electric vehicle charge station language learning program enhance community engagement satisfied fair somewhat safe yes satisfied
36-50 ,Male,Palamaner,Good,Very safe,Comfortable seating areas,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Public restrooms,Satisfied,Weekly,Dissatisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Invest in technology Dissatisfied Good Very safe No Neutral",clean comfortable vehicle public restroom language learning program invest technology dissatisfied good safe neutral
18-35 ,Male,Hyderabad,Fair,Very safe,Comfortable seating areas,No,Everyday,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Restrooms,Crowding and noise,No,Electric vehicle charging stations,Satisfied,Rarely,Very Satisfied,Language learning programs,Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Increase transparency Very Satisfied Fair Very safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program increase transparency satisfied fair safe unsatisfied
Oct-18,Male,Bengaluru,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Playgrounds,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Rarely,Satisfied,Language learning programs,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Increase transparency Satisfied Poor Somewhat safe Yes Neutral",clean comfortable vehicle sport equipment rental language learning program increase transparency satisfy poor somewhat safe yes neutral
Oct-18,Male,Andhra Pradesh,Fair,Somewhat safe,Baby-changing facilities,No,Everyday,Unsatisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Restrooms,Crowding and noise,Yes,Electric vehicle charging stations,Satisfied,Never,Neutral,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Invest in technology Neutral Fair Somewhat safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program invest technology neutral fair somewhat safe unsatisfied
36-50 ,Male,Bengaluru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Crowding and noise,Yes,Public restrooms,Dissatisfied,Monthly,Neutral,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Improve customer service Neutral Fair Somewhat unsafe Yes Satisfied",clean comfortable vehicle public restroom language learning program improve customer service neutral fair somewhat unsafe yes satisfied
51-70 ,Female,Kanakapura,Poor,Somewhat unsafe,Comfortable seating areas,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Public restrooms,Very dissatisfied,Never,Neutral,Language learning programs,Enhance community engagement,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Enhance community engagement Neutral Poor Somewhat unsafe No Satisfied",clean comfortable vehicle public restroom language learning program enhance community engagement neutral poor somewhat unsafe satisfied
Oct-18,Female,Palamaner,Good,Somewhat safe,Air conditioning or heating,No,Once a week,Neutral,More frequent buses/trains,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very dissatisfied,Monthly,Satisfied,Language learning programs,Improve customer service,More frequent buses/trains Electric vehicle charging stations Language learning programs Improve customer service Satisfied Good Somewhat safe No Neutral,frequent bus train electric vehicle charge station language learning program improve customer service satisfied good somewhat safe neutral
18-35 ,Female,Hyderabad,Good,Somewhat safe,Baby-changing facilities,No,Never,Neutral,Increased safety and security,Sometimes,Increased programming and events,Restrooms,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Monthly,Very Satisfied,Language learning programs,Invest in technology,Increased safety and security Sports equipment rentals Language learning programs Invest in technology Very Satisfied Good Somewhat safe No Neutral,increase safety security sport equipment rental language learning program invest technology satisfied good somewhat safe neutral
18-35 ,Male,Hyderabad,Fair,Neutral,Comfortable seating areas,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Very dissatisfied,Quarterly,Very Dissatisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Invest in technology Very Dissatisfied Fair Neutral No Neutral",clean comfortable vehicle sport equipment rental e book access invest technology dissatisfied fair neutral neutral
36-50 ,Female,Kanakapura,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Satisfied,Rarely,Satisfied,E book access,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations E book access Invest in technology Satisfied Fair Neutral Yes Neutral,reduce fare free transfer electric vehicle charge station e book access invest technology satisfied fair neutral yes neutral
18-35 ,Female,Hyderabad,Good,Somewhat safe,Free Wi-Fi,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Improved lighting and safety,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Dissatisfied,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Enhance community engagement Very Dissatisfied Good Somewhat safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access enhance community engagement dissatisfied good somewhat safe unsatisfied
18-35 ,Male,Bengaluru,Good,Neutral,Comfortable seating areas,Yes,Never,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Invest in technology Dissatisfied Good Neutral Yes Satisfied",clean comfortable vehicle electric vehicle charge station language learning program invest technology dissatisfied good neutral yes satisfy
